name,url,muscle_group,equipment
Russian Twist (weighted),https://www.hevyapp.com/exercises/russian-twist-weighted/,Abdominals,
Hollow Rock Hold,https://www.hevyapp.com/exercises/hollow-rock-hold/,Abdominals,None
Russian Twist (Bodyweight),https://www.hevyapp.com/exercises/russian-twists/,Abdominals,None
Single Leg Hip Thrust,https://www.hevyapp.com/exercises/single-leg-hip-thrust/,Abdominals,None
Knee Raise Parallel Bars,https://www.hevyapp.com/exercises/vertical-knee-raise/,Abdominals,None
Flutter Kicks,https://www.hevyapp.com/exercises/flutter-kicks/,Abdominals,None
Lying Knee Raise,https://www.hevyapp.com/exercises/lying-knee-raises/,Abdominals,None
Leg Raise Parallel Bars,https://www.hevyapp.com/exercises/leg-raises/,Abdominals,Machine
Spiderman,https://www.hevyapp.com/exercises/spiderman-plank/,Abdominals,None
Oblique Crunch,https://www.hevyapp.com/exercises/oblique-crunches/,Abdominals,None
Reverse Plank,https://www.hevyapp.com/exercises/how-to-reverse-plank/,Abdominals,Bodyweight
V Up,https://www.hevyapp.com/exercises/how-to-v-up/,Abdominals,Bodyweight
Decline Crunch,https://www.hevyapp.com/exercises/how-to-decline-crunch/,Abdominals,Bodyweight
Jackknife Sit Up,https://www.hevyapp.com/exercises/how-to-jackknife-sit-up/,Abdominals,Bodyweight
Cable Crunch,https://www.hevyapp.com/exercises/how-to-cable-crunch/,Abdominals,Machine
Sumo Deadlift,https://www.hevyapp.com/exercises/sumo-deadlift/,Quadriceps,Barbell
Kettlebell Goblet Squat,https://www.hevyapp.com/exercises/kettlebell-goblet-squat/,Quadriceps,Kettlebell
Sumo Squat (barbell),https://www.hevyapp.com/exercises/sumo-squat-barbell/,Quadriceps,Barbell
Reverse Lunge,https://www.hevyapp.com/exercises/reverse-lunge/,Quadriceps,None
Split Squat (Dumbbell),https://www.hevyapp.com/exercises/dumbbell-split-squat/,Quadriceps,Dumbbell
Lunge (Barbell),https://www.hevyapp.com/exercises/barbell-lunges/,Quadriceps,Barbell
Sissy Squat,https://www.hevyapp.com/exercises/sissy-squat/,Quadriceps,None
Goblet Squat,https://www.hevyapp.com/exercises/how-to-goblet-squat/,Quadriceps,Barbell
Lunge (Dumbbell),https://www.hevyapp.com/exercises/how-to-lunge-dumbbell/,Quadriceps,Dumbbell
Jump Squat,https://www.hevyapp.com/exercises/how-to-jump-squat/,Quadriceps,Bodyweight
Lunge (Dumbbell),https://www.hevyapp.com/exercises/how-to-lunge-dumbbell/,Quadriceps,Dumbbell
