Name,Muscle Group,Equipment,Title,Video URL
Reverse Curl,Biceps,Barbell,Reverse Curl – Learn about the Benefits and Mistakes to Avoid,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/00801201-Barbell-Reverse-Curl_Forearm.mp4
Zottman Curl (Dumbbell),Biceps,Dumbbell,"Zottman Curl (Dumbbell) – How to Instructions, Proper Exercise Form and Tips",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/04391201-Dumbbell-Zottman-Curl_Upper-Arms-FIX.mp4
Bicep Curl (Dumbbell),Biceps,Dumbbell,"Bicep Curl (Dumbbell) – How to Instructions, Proper Exercise Form and Tips",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/02941201-Dumbbell-Biceps-Curl_Upper-Arms.mp4
Bicep Curl (Dumbbell),Biceps,Dumbbell,"Bicep Curl (Dumbbell) – How to Instructions, Proper Exercise Form and Tips",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/04021201-Dumbbell-Seated-Preacher-Curl_Upper-Arms.mp4
Bicep Curl (Dumbbell),Biceps,Dumbbell,"Bicep Curl (Dumbbell) – How to Instructions, Proper Exercise Form and Tips",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/01561201-Cable-Curl_Upper-Arms.mp4
Hammer Curl (Dumbbell),Biceps,Dumbbell,"Hammer Curl (Dumbbell) – How to Instructions, Proper Exercise Form and Tips",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/03121201-Dumbbell-Hammer-Curl-(version-2)_Upper-Arms.mp4
Bicep Curl (Barbell),Biceps,Barbell,"Bicep Curl (Barbell) – How to Instructions, Proper Exercise Form and Tips", https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/00311201-Barbell-Curl_Upper-Arms.mp4
Bicep Curl (Barbell),Biceps,Barbell,"Bicep Curl (Barbell) – How to Instructions, Proper Exercise Form and Tips",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/00801201-Barbell-Reverse-Curl_Forearm.mp4
Bench Press - Close Grip (Barbell),Triceps,Barbell,Bench Press – Close Grip (Barbell) – Learn the Benefits and Mistakes to Avoid,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/00301201-Barbell-Close-Grip-Bench-Press_Upper-Arms.mp4
One-Arm Tricep Extension (Dumbbell),Triceps,Dumbbell,One-Arm Tricep Extension (Dumbbell)- The Benefits and Mistake to Avoid, https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/03621201-Dumbbell-One-Arm-Triceps-Extension-(on-bench)_Upper-Arms.mp4
Triceps Extension (barbell),Triceps,Barbell,Triceps Extension (barbell) – Expert Tips and Mistakes to Avoid,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/00921201-Barbell-Seated-Overhead-Triceps-Extension_Upper-Arms.mp4
Ring Dips,Triceps,None,Ring Dips – Progression into the Full Movement and Mistakes to Avoid,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/12691201-Cable-Standing-Up-Straight-Crossovers_Chest.mp4
Triceps Rope Pushdown,Triceps,Machine,"Triceps Rope Pushdown – How to Instructions, Proper Exercise Form and Tips",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/02011201-Cable-Pushdown_Upper-Arms.mp4
Triceps Kickback,Triceps,Dumbbell,"Triceps Kickback – How to Instructions, Proper Exercise Form and Tips",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/03331201-Dumbbell-Kickback_Upper-Arms.mp4
Chest-Supported Incline Row (dumbbell),Upper Back,Dumbbell,Chest-Supported Incline Row (dumbbell) – Alignment Tips and Mistakes to Avoid,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/03271201-Dumbbell-Incline-Row_Back.mp4
Bent over fly,Upper Back,Dumbbell,"Bent Over Fly – Learn Expert Tips, Mistakes to Avoid, and Variations", https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/02181201-Cable-Seated-Wide-grip-Row_Back.mp4
Bent over fly,Upper Back,Dumbbell,"Bent Over Fly – Learn Expert Tips, Mistakes to Avoid, and Variations",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/06021201-Lever-Seated-Reverse-Fly_Shoulders.mp4
T Bar Row,Upper Back,Barbell,"T Bar Row – How to Instructions, Proper Exercise Form and Tips",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/06061201-Lever-T-bar-Row-(plate-loaded)_Back.mp4
Inverted Row,Upper Back,Machine,"Inverted Row – How to Instructions, Proper Exercise Form and Tips",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/04991201-Inverted-Row_Back.mp4
Rack Pull,Lower Back,Barbell,"Rack Pull – How to Instructions, Proper Exercise Form and Tips",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/08111201-Trap-Bar-Deadlift_Thighs.mp4
Rack Pull,Lower Back,Barbell,"Rack Pull – How to Instructions, Proper Exercise Form and Tips",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/05931201-Lever-Reverse-Hyperextension-(plate-loaded)_Hips.mp4
Pull Up,Lats,None,Pull Up – Learn the Benefits and Common Mistakes to Avoid,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/06521201-Pull-up_Back.mp4
Pull Up,Lats,None,Pull Up – Learn the Benefits and Common Mistakes to Avoid,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/03271201-Dumbbell-Incline-Row_Back.mp4
Lat Pulldown (Cable),Lats,Machine,"Lat Pulldown (Cable) – How to Instructions, Proper Exercise Form and Tips",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/01501201-Cable-Bar-Lateral-Pulldown_Back.mp4
Lat Pulldown (Cable),Lats,Machine,"Lat Pulldown (Cable) – How to Instructions, Proper Exercise Form and Tips",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/06061201-Lever-T-bar-Row-(plate-loaded)_Back.mp4
